2024-08-25 20:04:38.787 [] INFO  o.h.v.i.u.Version - HV000001: Hibernate Validator 8.0.0.Final
2024-08-25 20:04:38.806 [] INFO  c.c.t.o.c.TimeOffApplication - Starting TimeOffApplication using Java 17.0.4.1 with PID 52864 (/Users/js4otto/Documents/cercli/time.off/time.off.container/target/classes started by js4otto in /Users/js4otto/Documents/cercli)
2024-08-25 20:04:38.806 [] DEBUG c.c.t.o.c.TimeOffApplication - Running with Spring Boot v3.0.1, Spring v6.0.3
2024-08-25 20:04:38.806 [] INFO  c.c.t.o.c.TimeOffApplication - The following 1 profile is active: "sentinel"
2024-08-25 20:04:39.074 [] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-08-25 20:04:39.074 [] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2024-08-25 20:04:39.114 [] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 37 ms. Found 2 MongoDB repository interfaces.
2024-08-25 20:04:39.201 [] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-08-25 20:04:39.202 [] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-08-25 20:04:39.209 [] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 3 ms. Found 0 Redis repository interfaces.
2024-08-25 20:04:39.407 [] INFO  o.s.b.w.e.t.TomcatWebServer - Tomcat initialized with port(s): 2372 (http)
2024-08-25 20:04:39.412 [] INFO  o.a.c.h.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-2372"]
2024-08-25 20:04:39.413 [] INFO  o.a.c.c.StandardService - Starting service [Tomcat]
2024-08-25 20:04:39.413 [] INFO  o.a.c.c.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.4]
2024-08-25 20:04:39.444 [] INFO  o.a.c.c.C.[.[.[/] - Initializing Spring embedded WebApplicationContext
2024-08-25 20:04:39.444 [] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 610 ms
2024-08-25 20:04:39.513 [] INFO  o.m.d.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.8.1"}, "os": {"type": "Darwin", "name": "Mac OS X", "architecture": "aarch64", "version": "14.4"}, "platform": "Java/Azul Systems, Inc./17.0.4.1+1-LTS", "application": {"name": "MongoDB Compass"}} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='root', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@5d66e944]}, clusterSettings={hosts=[127.0.0.1:27017], srvServiceName=mongodb, mode=SINGLE, requiredClusterType=UNKNOWN, requiredReplicaSetName='null', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=200, minSize=50, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=false, invalidHostNameAllowed=false, context=null}, applicationName='MongoDB Compass', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
2024-08-25 20:04:39.521 [] INFO  o.m.d.cluster - Monitor thread successfully connected to server with description ServerDescription{address=127.0.0.1:27017, type=SHARD_ROUTER, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=9, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=10280000}
2024-08-25 20:04:40.165 [] INFO  o.a.c.h.Http11NioProtocol - Starting ProtocolHandler ["http-nio-2372"]
2024-08-25 20:04:40.172 [] INFO  o.s.b.w.e.t.TomcatWebServer - Tomcat started on port(s): 2372 (http) with context path ''
2024-08-25 20:04:40.176 [] INFO  c.c.t.o.c.TimeOffApplication - Started TimeOffApplication in 1.588 seconds (process running for 6.872)
